thr,minvol,count,mean,std,max
0.1,0,244,391.22131147540983,693.2796908245297,5374
0.1,40,157,601.5605095541401,789.1899445834238,5374
0.1,80,136,685.5294117647059,816.2471416144572,5374
0.1,120,115,792.0347826086957,845.2377584770971,5374
0.1,160,101,882.5247524752475,863.8183778904998,5374
0.30000000000000004,0,222,373.6801801801802,643.9575705512264,4889
0.30000000000000004,40,145,565.6620689655173,727.0175847675464,4889
0.30000000000000004,80,122,661.311475409836,755.3151777484466,4889
0.30000000000000004,120,105,752.1333333333333,776.9543844754052,4889
0.30000000000000004,160,94,823.8829787234042,790.657763556381,4889
0.5000000000000001,0,204,329.0637254901961,567.8050453002982,4432
0.5000000000000001,40,135,491.162962962963,639.8664931051072,4432
0.5000000000000001,80,110,590.1,670.521533109591,4432
0.5000000000000001,120,92,686.3804347826087,693.4622155530977,4432
0.5000000000000001,160,80,768.5875,707.949692664493,4432
0.7000000000000001,0,190,286.80526315789473,464.1776077658707,3509
0.7000000000000001,40,130,413.26153846153846,514.0028517407595,3509
0.7000000000000001,80,110,477.94545454545454,533.8698315364836,3509
0.7000000000000001,120,84,594.297619047619,562.0616975911923,3509
0.7000000000000001,160,75,648.56,571.2489064030378,3509
0.9000000000000001,0,175,271.8742857142857,429.07462710406196,3147
0.9000000000000001,40,127,369.3937007874016,467.93210957671886,3147
0.9000000000000001,80,96,469.46875,498.57697402049916,3147
0.9000000000000001,120,79,548.873417721519,516.1819512165616,3147
0.9000000000000001,160,71,595.6056338028169,524.3035750798383,3147